,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
101,2004-10,1097393262.0,ace,0.26,41.04,4.961636828644496,1130.65,4.753831044897824,0.20780578374667158
102,2005-01,1105608449.0,ace,0.21,42.76,9.360613810741679,1177.45,9.089814145681633,0.2707996650600464
103,2007-02,1171981925.0,ace,0.171,58.6,49.87212276214834,1459.6801,35.23821038782962,14.633912374318719
104,2007-04,1175774046.0,ace,0.171,57.24,46.39386189258312,1443.76,33.76322567494952,12.630636217633601
105,2008-01,1201110538.0,ace,0.154,59.98,53.40153452685421,1338.6,24.02023458780366,29.381299939050553
106,2010-12,1291692570.0,ace,23.09,59.06,51.04859335038363,1223.75,13.379472640687837,37.6691207096958
107,2011-08,1313081340.0,ace,27.7,63.42,62.19948849104859,1172.64,8.644171438101079,53.555317052947515
108,2013-04,1366676643.0,ace,24.94,89.27,128.31202046035804,1578.78,46.272722219133925,82.03929824122412
109,2013-05,1368702537.0,ace,27.94,92.58,136.77749360613808,1650.47,52.91474419552691,83.86274941061117
110,2003-12,1071515544.0,aci,1.074,30.78,0.0,1068.04,0.0,0.0
111,2005-01,1106526787.0,aci,1.18,34.52,12.150747238466543,1163.75,8.96127485861953,3.189472379847013
112,2005-02,1107560211.0,aci,1.18,38.4,24.75633528265106,1193.1899,11.717716564922673,13.038618717728388
113,2005-03,1112151028.0,aci,0.936,41.15,33.69070825211175,1181.41,10.614770982360222,23.075937269751527
114,2006-05,1148429821.0,aci,0.854,46.39,50.71474983755685,1258.5699,17.83921014194225,32.875539695614606
115,2007-03,1173634867.0,aci,0.86,30.08,-2.274204028590003,1401.89,31.258192577057052,-33.53239660564706
116,2007-04,1175957547.0,aci,0.86,33.93,10.233918128654967,1439.37,34.76742444103216,-24.533506312377195
117,2008-03,1204465827.0,aci,0.851,51.09,65.98440545808968,1367.6801,28.05513838433018,37.929267073759505
118,2008-06,1212618236.0,aci,0.899,67.52,119.3632228719948,1404.05,31.4604321935508,87.90279067844399
119,2008-10,1223484688.0,aci,0.772,25.11,-18.421052631578952,984.94,-7.78060746788509,-10.640445163693862
120,2008-12,1228440957.0,aci,0.767,11.93,-61.241065627030544,876.07,-17.974045915883295,-43.26701971114725
